Name,State,Party,DW-Nominate,Legislative Efficacy Score,Misalignment,CR_mean,CR_std,CR_median,CR_97.5,CR_2.5,PR_mean,PR_std,PR_median,PR_97.5,PR_2.5,Combine_mean,Combine_std,Combine_median,Combine_97.5,Combine_2.5
"Rohrabacher, Dana",ca,Republican,0.629,0.106620632,0.0,0.600442617228,0.0668618638022,0.595653516495,0.737596854539,0.493309812202,0.636452124179,0.0639247520454,0.625758725731,0.761294863543,0.54163473788,0.618083054299,0.0906199496014,0.619990449061,0.778135066278,0.454600904847
"Goodlatte, Bob",va,Republican,0.49,5.377011776,0.0,0.742713250787,0.0535586361275,0.739860443805,0.849938531997,0.631925590335,0.978223286118,0.037402301517,1.0,1.0,0.890063472727,0.959430792468,0.0622297203029,1.0,1.0,0.800159026992
"Yarmuth, John A.",ky,Democratic,-0.383,0.076157592,0.0,0.27841319551,0.0660473108067,0.270109126684,0.430110582135,0.183928532876,0.177519323166,0.0784489711922,0.1755855954,0.345484274318,0.0507861575662,0.165982226025,0.0732330161893,0.167644435205,0.304049894537,0.0260898949346
"Smith, Adam",wa,Democratic,-0.281,0.137083665,0.0,0.603630869161,0.0608381970438,0.595639624463,0.724033561955,0.495689590079,0.518474268979,0.0631682700599,0.51820202772,0.642767583112,0.404320464374,0.544195308924,0.0790097661633,0.54452211155,0.698006808637,0.388636216288
"Harris, Andy",md,Republican,0.597,0.285611868,0.0,0.631265027428,0.0643394751459,0.616222285482,0.761522385198,0.528974648695,0.686512069748,0.0782283099299,0.681928627385,0.860855840832,0.53807696913,0.694084547632,0.108004792037,0.681702971691,0.911233247665,0.499393668299
"Costa, Jim",ca,Democratic,-0.199,0.239917308,0.0,0.357992472595,0.0695141431187,0.357151431666,0.512495837532,0.22865862232,0.454585650809,0.0825390463723,0.452033707995,0.617932032789,0.278807564944,0.4508025977,0.0886889071283,0.444051926506,0.647823900521,0.275610927596
"Chu, Judy",ca,Democratic,-0.512,0.137083665,0.0,0.392113949324,0.0642206859501,0.386259159453,0.533838158757,0.282802756434,0.521223772063,0.115272322616,0.535585134319,0.693779950953,0.261733427798,0.49422578873,0.145859618566,0.514632940161,0.718001953712,0.179539694752
"Kelly, Robin L.",il,Democratic,-0.448,0.228472784,0.0,0.0322119203467,0.0502319306241,0.0,0.163725096936,0.0,0.308765010608,0.0502998200552,0.298396043742,0.433803917897,0.231277494278,0.188243053367,0.076971928357,0.189881572386,0.335902624184,0.0606507686986
"Brady, Robert A.",pa,Democratic,-0.484,0.063972384,0.0,0.571616388983,0.0572018122921,0.571412375908,0.679031511943,0.473266532137,0.556037914067,0.0758059868465,0.556593508275,0.705820199333,0.396942372949,0.585363414997,0.0980698062796,0.588868248107,0.747709457078,0.384457168818
"Cicilline, David N.",ri,Democratic,-0.396,0.647688031,0.0,0.0960245378337,0.0728968520756,0.102322884038,0.244793499715,0.0,0.323912353792,0.0724834665975,0.314197330366,0.472862989567,0.208850346178,0.264634655758,0.0801743908034,0.258388008872,0.416743549052,0.104654501696
"Mulvaney, Mick",sc,Republican,0.754,0.538021088,0.0,0.539584587348,0.0617244144249,0.53025651339,0.673434402504,0.445072536432,0.801461545983,0.0708499695195,0.782944524126,0.960914401407,0.702198257629,0.770393104905,0.0962089798387,0.770809364561,0.934064595608,0.620918064052
"Clarke, Yvette D.",ny,Democratic,-0.605,0.422304511,0.0,0.31595087848,0.0698567777464,0.311990894954,0.465809447583,0.192804951326,0.11506355514,0.076541738365,0.108384544554,0.2715096493,0.0,0.0892293151624,0.0684690219785,0.084364885627,0.202207395181,0.0
"Mullin, Markwayne",ok,Republican,0.49,1.404404163,0.0,0.601285149292,0.0612341487038,0.59423888128,0.726422804166,0.502926232835,0.710224002743,0.0663652631464,0.700510225473,0.844464512237,0.609248469296,0.689843666528,0.0906293154776,0.690039588204,0.84800514306,0.533393060827
"Lofgren, Zoe",ca,Democratic,-0.403,0.246750608,0.0,0.480633406048,0.0614563287075,0.471516438915,0.597505310798,0.378198569589,0.441381879402,0.0613597064373,0.43400295644,0.579771455778,0.344554120498,0.407680445136,0.0678346957443,0.401652954976,0.536912650889,0.275702958755
"Takano, Mark",ca,Democratic,-0.476,0.594112754,0.0,0.185021417801,0.0693308652521,0.185179558122,0.327016375776,0.0581274856622,0.459558308382,0.0605216630416,0.456919513051,0.57514420331,0.343657373954,0.268647458124,0.0732018374926,0.273309807832,0.412106072889,0.126193960366
"Meeks, Gregory W.",ny,Democratic,-0.423,0.227640375,0.0,0.294139778547,0.061448470416,0.289388384073,0.414046201281,0.191805995553,0.35996966228,0.0626941216837,0.354795396039,0.483271217408,0.260852880326,0.340552693223,0.0715869114421,0.345778760792,0.468345214881,0.201583438428
"Welch, Peter",vt,Democratic,-0.417,0.799210548,0.0,0.423893992523,0.0587350830833,0.418866238517,0.557028080441,0.322320974833,0.287995485343,0.0653401470955,0.285548494123,0.442938491013,0.177203978342,0.239922160168,0.0654844122576,0.235513395733,0.375395704534,0.12455012729
"Pascrell, Bill, Jr.",nj,Democratic,-0.368,0.996924222,0.0,0.305610019476,0.0664271978971,0.301075313216,0.441405478579,0.185338850828,0.15357668198,0.0804904408742,0.149642848973,0.310765398079,0.0131591506563,0.130222941729,0.0763572968885,0.133813588046,0.297472601819,0.0
"Hartzler, Vicky",mo,Republican,0.504,0.091389112,0.0,0.690522705833,0.0619462098717,0.680109219636,0.812794050001,0.593769294066,0.760291797602,0.0688511165892,0.751266093911,0.900443339547,0.645566388656,0.758454100929,0.0934015961536,0.753083879648,0.93199638176,0.614601313461
"Massie, Thomas",ky,Republican,0.604,0.091389112,0.0,0.587699018793,0.0623679464804,0.581249064472,0.706643236725,0.489748931351,0.334655446284,0.103805622963,0.315464272663,0.597695394399,0.194771790284,0.253190246477,0.137594325895,0.22320430186,0.548046452702,0.0751144855025
"Cole, Tom",ok,Republican,0.337,1.26077795,0.0,0.533371527436,0.064334050138,0.533788776824,0.657013303844,0.407461305515,0.718262828865,0.0684060098462,0.709210857508,0.847315341557,0.614383049787,0.6356111922,0.0884304585443,0.629273346611,0.804196649668,0.505198177721
"Gohmert, Louie",tx,Republican,0.597,0.270380348,0.0,0.775527641454,0.0852204131337,0.772628932145,0.950018487564,0.611453780594,0.670744229217,0.0681979864339,0.660496687205,0.810837240862,0.563559581017,0.720666409286,0.100903374277,0.711619646651,0.920149476643,0.546771123745
"Beatty, Joyce",oh,Democratic,-0.449,0.413906276,0.0,0.107355514707,0.0777033160885,0.103063936447,0.260713355075,0.0,0.263867433401,0.0708812139236,0.25996206634,0.422306977123,0.151878620958,0.169365417594,0.0732224749919,0.166582403701,0.310368416352,0.0205043928478
"Hudson, Richard",nc,Republican,0.683,2.050586224,0.0,0.64914003483,0.0672935669871,0.642379858564,0.799469373921,0.543200718839,0.707272768818,0.0664883864514,0.690735956483,0.847238554968,0.608711594027,0.641305602415,0.0856523692655,0.646695327994,0.798961025238,0.498382005756
"Barr, Andy",ky,Republican,0.47,1.364548564,0.0,0.543833571294,0.058012846263,0.535284089796,0.663572915835,0.447351414566,0.68977028018,0.0709574718784,0.684203319034,0.819228802294,0.55107386883,0.673436067468,0.0902686565414,0.666483583682,0.831948148348,0.509192126101
"Conyers, John, Jr.",mi,Democratic,-0.66,0.502640128,0.0,0.343595930859,0.0680784164558,0.342770946121,0.48966694918,0.235454517633,0.151523947224,0.077242294599,0.150118219673,0.313563198177,0.0,0.134331362475,0.079514373991,0.127880568472,0.294182767676,0.0
"Thornberry, Mac",tx,Republican,0.529,0.368015409,0.0,0.598804998414,0.0595725527961,0.597334525659,0.709650669301,0.490672686423,0.837226912924,0.0706632199066,0.819412057306,0.97168733078,0.730328413739,0.796101743577,0.101592526866,0.801091316747,0.96473527741,0.647919107473
"Castro, Joaquin",tx,Democratic,-0.41,0.121852152,0.0,0.157401925609,0.0758183704204,0.160323859456,0.330438385978,0.00450200493872,0.462773228454,0.0644510884222,0.457511997957,0.602918468303,0.35654724827,0.34729996141,0.0738284395505,0.342015271149,0.489824696749,0.204542769617
"McCarthy, Kevin",ca,Republican,0.459,1.644431829,0.0,0.588630130795,0.0597260928394,0.580362145331,0.712806734725,0.490760530702,0.745682356869,0.0706331989484,0.735049603411,0.887973496995,0.622384474557,0.780000552281,0.0976490112536,0.779859535373,0.970524417697,0.616281229255
"Holding, George",nc,Republican,0.671,1.456344724,0.0,0.715801385411,0.072841706948,0.71008283428,0.900512063921,0.592339259707,0.790111233008,0.0744003498193,0.77217012418,0.942021397328,0.677697492505,0.75744534526,0.100856716653,0.752944112099,0.954121243533,0.595886934108
"Ellison, Keith",mn,Democratic,-0.541,1.138201833,0.0,0.323208886233,0.0675950010488,0.314839374159,0.461002648598,0.208945464867,0.267825241604,0.0699671504578,0.262575251674,0.412995853704,0.146575038149,0.225017353798,0.0722043677291,0.229585842924,0.378869821045,0.0858567320869
"Polis, Jared",co,Democratic,-0.285,1.563552737,0.0,0.18180721263,0.0877415807867,0.18925085941,0.352602265999,0.013357531992,0.502547692908,0.0635193251256,0.500480475847,0.631646137967,0.39097749848,0.357786200313,0.0700601929274,0.355401159605,0.497702420752,0.230834093688
"Shimkus, John",il,Republican,0.371,0.461863488,0.0,0.580383267029,0.0579635116505,0.575592666393,0.704747377232,0.47997565664,0.576485551428,0.0631669850785,0.571218560421,0.712746578825,0.473161775506,0.575555727835,0.0815074396925,0.57163674935,0.728939898609,0.435043318298
"Ryan, Tim",oh,Democratic,-0.409,0.343399912,0.0,0.351210067192,0.0597521829604,0.348518341875,0.464947523227,0.258469232383,0.363296898704,0.0666157671749,0.359763058064,0.492353441904,0.252536041905,0.335375244362,0.0703927974442,0.328149025567,0.473798806139,0.211528635005
"Fortenberry, Jeff",ne,Republican,0.295,0.513693631,0.0,0.600565453921,0.060990403731,0.593400775131,0.729710784664,0.497743661923,0.741619688488,0.0631492234571,0.728421611406,0.872710484423,0.648033801275,0.680830814567,0.0824640367042,0.686515158686,0.833131251531,0.544074754783
"LoBiondo, Frank A.",nj,Republican,0.2,0.875072062,1.0,0.550169866349,0.0667048951363,0.541398111665,0.69217429041,0.442535176751,0.441359790639,0.0754611484027,0.43843786576,0.585622947506,0.299759151311,0.390875256606,0.0840759784222,0.384546921211,0.564105262734,0.226779749664
"Herrera Beutler, Jaime",wa,Republican,0.377,0.595160127,0.0,0.513966435456,0.0595500289684,0.513844027141,0.650858578814,0.416043679806,0.470644274576,0.0634365088012,0.467993247122,0.609595727531,0.358405782245,0.43965069001,0.0725984722696,0.434588736534,0.578137876114,0.31505415137
"King, Steve",ia,Republican,0.62,0.270380348,0.0,0.900014348488,0.0839361433018,0.89765926079,1.0,0.716064742865,0.790825803253,0.0670451488519,0.77949754102,0.948067836494,0.68111409542,0.828707276599,0.108749518131,0.837346026423,1.0,0.641633321112
