Name,State,Party,DW-Nominate,Legislative Efficacy Score,Misalignment,CR_mean,CR_std,CR_median,CR_97.5,CR_2.5,PR_mean,PR_std,PR_median,PR_97.5,PR_2.5,Combine_mean,Combine_std,Combine_median,Combine_97.5,Combine_2.5, K-S score
"Rohrabacher, Dana",ca,Republican,0.629,0.106620632,0.0,0.752502869787,0.0672745563672,0.752207093141,0.905803321805,0.629430083689,0.555547138901,0.0793290545152,0.559580517905,0.724531271783,0.419353721541,0.618083054299,0.0906199496014,0.619990449061,0.778135066278,0.454600904847,0.82248884787
"Goodlatte, Bob",va,Republican,0.49,5.377011776,0.0,0.89211234301,0.0714464866838,0.898902518798,1.0,0.750875327689,0.972420717893,0.0477448767824,1.0,1.0,0.847786470819,0.959430792468,0.0622297203029,1.0,1.0,0.800159026992,0.579027735362
"Yarmuth, John",ky,Democratic,-0.383,0.076157592,0.0,0.352445902775,0.0713220926777,0.356795893137,0.476665961769,0.210425471972,0.125108270355,0.0880517825014,0.10456550964,0.354982005154,0.0,0.165982226025,0.0732330161893,0.167644435205,0.304049894537,0.0260898949346,0.825863991081
"Smith, Adam",wa,Democratic,-0.281,0.137083665,0.0,0.728380903373,0.0687159635843,0.726156184608,0.865062403727,0.612990638281,0.500385442715,0.0808118407632,0.493531961531,0.664315206693,0.366090841688,0.544195308924,0.0790097661633,0.54452211155,0.698006808637,0.388636216288,0.885949338601
"Harris, Andy",md,Republican,0.597,0.285611868,0.0,0.776575067279,0.0551837993672,0.773295814349,0.867538577583,0.639253915423,0.681573762691,0.108629575401,0.683188957826,0.889384020972,0.470433063976,0.694084547632,0.108004792037,0.681702971691,0.911233247665,0.499393668299,0.520532709747
"Costa, Jim",ca,Democratic,-0.199,0.239917308,0.0,0.403415948491,0.0711402154783,0.404814044476,0.54492326271,0.270546025087,0.45779639299,0.0926886655832,0.469606179482,0.616377309115,0.271894433253,0.4508025977,0.0886889071283,0.444051926506,0.647823900521,0.275610927596,0.351424694708
"Chu, Judy",ca,Democratic,-0.512,0.137083665,0.0,0.527217064358,0.0584887514947,0.525619616048,0.631977331083,0.420581853954,0.481010697081,0.152118367593,0.508631639814,0.704500083857,0.175800034373,0.49422578873,0.145859618566,0.514632940161,0.718001953712,0.179539694752,0.245639462242
"Kelly, Robin",il,Democratic,-0.448,0.228472784,0.0,0.0610248547069,0.0700319148101,0.0276588654783,0.207750528583,0.0,0.208423437865,0.0723825223405,0.196448030441,0.383124758278,0.0977813799223,0.188243053367,0.076971928357,0.189881572386,0.335902624184,0.0606507686986,0.716980661882
"Brady, Robert",pa,Democratic,-0.484,0.063972384,0.0,0.788901846679,0.0564569673427,0.791909059275,0.895952207568,0.670219309184,0.565069887511,0.112999093727,0.565586175327,0.764195445479,0.342779163046,0.585363414997,0.0980698062796,0.588868248107,0.747709457078,0.384457168818,0.80793116526
"Cicilline, David",ri,Democratic,-0.396,0.647688031,0.0,0.118585453667,0.0743847750155,0.124971766694,0.24180318068,0.0,0.284027526999,0.0829110907844,0.276815496138,0.465540013462,0.154200428394,0.264634655758,0.0801743908034,0.258388008872,0.416743549052,0.104654501696,0.706678934579
"Mulvaney, Mick",sc,Republican,0.754,0.538021088,0.0,0.683719036508,0.0592121484041,0.687096010903,0.793695183531,0.557444566633,0.77229359382,0.10583532925,0.769913505441,0.988486470188,0.616224695747,0.770393104905,0.0962089798387,0.770809364561,0.934064595608,0.620918064052,0.433831962104
"Clarke, Yvette",ny,Democratic,-0.605,0.422304511,0.0,0.457730242532,0.0821558577596,0.45990566598,0.609812160406,0.297390053735,0.0871106319586,0.0851630501287,0.0635652155015,0.274321402719,0.0,0.0892293151624,0.0684690219785,0.084364885627,0.202207395181,0.0,0.979523435454
