name,party,CR_975,CR_25,PR_975,PR_25,DW_nominate,closer to,K-S score
"Clarke, Yvette D.",Democratic,0.609812160406,0.297390053735,0.274321402719,0.0,0.0389000670691,PR,0.979523435454
"Welch, Peter",Democratic,0.682584873874,0.460533150286,0.404809288156,0.118609324847,0.164989939638,PR,0.975609756098
"Massie, Thomas",Republican,0.918149296512,0.692453898089,0.496768775391,0.0,0.849765258216,CR,1.0
"Polis, Jared",Democratic,0.273017382949,0.0,0.61143854794,0.297650836006,0.253521126761,CR,0.983870967742
"LoBiondo, Frank A.",Republican,0.843894688734,0.566841974412,0.525098384809,0.16905352849,0.578806170355,CR,0.977528089888
"Herrera Beutler, Jaime",Republican,0.822959130908,0.609317467113,0.573380029978,0.270741014459,0.697518443997,CR,0.973682773683
"Neal, Richard E.",Democratic,0.721007795112,0.500340870189,0.413526184186,0.107340649871,0.164989939638,PR,1.0
"Rothfus, Keith J.",Republican,1.0,0.841806240184,0.800555574509,0.521000008824,0.779342723005,PR,0.984426764054
"Velazquez, Nydia M.",Democratic,0.727026305167,0.506921016807,0.0,0.0,0.0784708249497,PR,1.0
"Vargas, Juan",Democratic,0.731727257579,0.508841104201,0.401770644914,0.0912351598663,0.189134808853,PR,1.0
"Walz, Timothy J.",Democratic,0.897039436962,0.697694805913,0.499103700521,0.156829395993,0.256874580818,PR,1.0
"Ruppersberger, C. A. Dutch",Democratic,0.941979745702,0.705858317135,0.465792786602,0.148493058775,0.241448692153,PR,1.0
"Lowey, Nita M.",Democratic,0.596773611093,0.32535707826,0.25462950273,0.0,0.183098591549,PR,0.989637305699
"Lewis, John",Democratic,0.67167060024,0.454975005832,0.290297535992,0.00953831418597,0.0509725016767,PR,1.0
"Visclosky, Peter J.",Democratic,0.885464052781,0.647201483174,0.485622498813,0.232036529989,0.173708920188,PR,1.0
"Higgins, Brian",Democratic,0.736165577236,0.511310940932,0.281247113377,0.0,0.211938296445,PR,1.0
"Norcross, Donald",Democratic,0.790484683294,0.570811120522,0.303674547421,0.0,0.189805499665,PR,1.0
"Granger, Kay",Republican,0.891621605007,0.699342792967,0.628712792938,0.331820267219,0.704225352113,CR,0.985483795319
"Serrano, Jose E.",Democratic,0.782477424572,0.550052950759,0.438246310775,0.1387603473,0.116700201207,PR,1.0
"Esty, Elizabeth H.",Democratic,0.711355594736,0.42178369508,0.234908948938,0.0,0.237424547284,PR,1.0
"Franks, Trent",Republican,1.0,0.853364056021,0.768117256321,0.483107037668,0.949698189135,CR,0.995575221239
"Pingree, Chellie",Democratic,0.727487533271,0.475003782664,0.430278474091,0.180989553719,0.156941649899,PR,0.990521327014
"Wilson, Frederica S.",Democratic,0.780205543389,0.564453202759,0.477026722272,0.188392538987,0.1220657277,PR,0.995575221239
"Carter, John R.",Republican,1.0,0.789314746472,0.75322349508,0.463341174183,0.757209926224,PR,0.978433402346
"Duncan, John J., Jr.",Republican,0.978143515042,0.763125565502,0.605239445621,0.231207533567,0.846411804158,CR,1.0
"Hastings, Alcee L.",Democratic,0.106955985485,0.0,0.484909871041,0.216706565008,0.0643863179074,CR,1.0
"Reichert, David G.",Republican,0.722188660379,0.542670816488,0.530950306692,0.196217382095,0.588195841717,CR,0.960878090774
"Sarbanes, John P.",Democratic,0.72320469713,0.525088947335,0.268233235861,0.0,0.13547954393,PR,1.0
"Sires, Albio",Democratic,0.712505586355,0.48331173545,0.202309695958,0.0,0.172367538565,PR,1.0
"Vela, Filemon",Democratic,0.830320912747,0.615751308534,0.483684276063,0.184136871341,0.232729711603,PR,1.0
"Perlmutter, Ed",Democratic,0.746180530874,0.533719805329,0.383705603114,0.0763787939518,0.241448692153,PR,1.0
"Clawson, Curt",Republican,0.867947797717,0.642597675695,0.581348044511,0.109567264707,0.86452045607,CR,0.978494623656
"Sherman, Brad",Democratic,0.907896519934,0.676860330302,0.599041212366,0.257257764114,0.212608987257,PR,0.995594713656
"Delaney, John K.",Democratic,0.770462606831,0.542226211657,0.509203297463,0.229401612235,0.259557344064,PR,0.975069814674
"Meng, Grace",Democratic,0.739222730223,0.535056515095,0.375606164915,0.0693185708046,0.185781354795,PR,1.0
"Larsen, Rick",Democratic,0.927930646175,0.603668637982,0.574063954603,0.258470241323,0.195171026157,PR,0.970824111754
"Keating, William R.",Democratic,0.766868758377,0.567509130254,0.40559170357,0.0970681285882,0.219986586184,PR,1.0
"Jones, Walter B., Jr.",Republican,1.0,0.744066457849,0.692526102425,0.377522702118,0.607645875252,PR,0.989743589744
"Waters, Maxine",Democratic,0.605480352435,0.336039684261,0.319074169692,0.0,0.0,PR,0.969423558897
"Loebsack, David",Democratic,0.766533023705,0.543285778946,0.401020184945,0.131670225419,0.255533199195,PR,0.995454545455
"Larson, John B.",Democratic,0.836539764574,0.615329202173,0.345718576476,0.0,0.173038229376,PR,1.0
"DelBene, Suzan K.",Democratic,0.656698922832,0.419816936311,0.364949673354,0.0443709004206,0.260898725687,PR,0.985147783251
"Cummings, Elijah E.",Democratic,0.823363972476,0.579835115185,0.40024649595,0.109009873592,0.150234741784,PR,1.0
"Peterson, Collin C.",Democratic,0.894330514814,0.657933063481,0.593956154543,0.287456769236,0.348088531187,PR,0.995327102804
"Bass, Karen",Democratic,0.693016179523,0.461649435135,0.423548399579,0.124341785196,0.0764587525151,PR,0.979560958096
"Napolitano, Grace F.",Democratic,0.959918249977,0.546661241166,0.487102409433,0.160890827723,0.14419852448,PR,0.994623655914
"Cuellar, Henry",Democratic,0.973211999433,0.760108844879,0.477306967138,0.211884536132,0.285043594903,PR,1.0
"Walden, Greg",Republican,0.975299781022,0.757984060312,0.614437901241,0.315598041592,0.670690811536,PR,1.0
